pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT4G11830-AT4G11840,6-7,5-6,-ALTA,14,161,17,139,28,229,0,78,0,75,0,90,ALTA,AT4G11830,AT4G11840,AT4G11830-AT4G118406-7-ALTA,529,59,243,0,one,0.111531190926276
AT4G25515-AT4G25520,2-3,3-4,+IR,0,17,0,24,0,40,2,68,6,75,17,84,IR,AT4G25515,AT4G25520,AT4G25515-AT4G255202-3+IR,81,0,227,25,one,0.110132158590308
AT4G11830-AT4G11840,2-3,1-2,-ALTD,12,214,29,167,40,361,0,34,0,21,0,37,ALTD,AT4G11830,AT4G11840,AT4G11830-AT4G118402-3-ALTD,742,81,92,0,one,0.109164420485175
AT5G41360-AT5G41370,6-7,6-7,+ALTD,0,73,0,59,0,107,24,218,11,184,33,226,ALTD,AT5G41360,AT5G41370,AT5G41360-AT5G413706-7+ALTD,239,0,628,68,one,0.10828025477707
AT3G13290-AT3G13300,4-5,4-5,+IR,0,61,0,46,0,89,25,151,23,185,30,387,IR,AT3G13290,AT3G13300,AT3G13290-AT3G133004-5+IR,196,0,723,78,one,0.107883817427386
AT1G56130-AT1G56140,9-10,9-10,+IR,0,5,0,2,0,3,3,18,4,20,1,37,IR,AT1G56130,AT1G56140,AT1G56130-AT1G561409-10+IR,10,0,75,8,one,0.106666666666667
AT4G27290-AT4G27300,3-4,4-5,+IR,0,2,0,2,0,3,13,135,13,101,13,132,IR,AT4G27290,AT4G27300,AT4G27290-AT4G273003-4+IR,7,0,368,39,one,0.105978260869565
AT3G62740-AT3G62750,11-12,11-12,+IR,0,7,0,2,0,5,125,1007,80,963,180,1738,IR,AT3G62740,AT3G62750,AT3G62740-AT3G6275011-12+IR,14,0,3708,385,one,0.103829557713053
AT5G41360-AT5G41370,6-7,6-7,+ALTA,0,73,0,59,0,107,24,218,12,183,28,231,ALTA,AT5G41360,AT5G41370,AT5G41360-AT5G413706-7+ALTA,239,0,632,64,one,0.10126582278481
AT4G27820-AT4G27830,4-5,4-5,+IR,29,233,7,151,36,329,0,216,0,147,0,276,IR,AT4G27820,AT4G27830,AT4G27820-AT4G278304-5+IR,713,72,639,0,one,0.100981767180926
AT1G08890-AT1G08900,15-16,15-16,+IR,0,22,0,67,0,53,6,105,20,130,16,182,IR,AT1G08890,AT1G08900,AT1G08890-AT1G0890015-16+IR,142,0,417,42,one,0.100719424460432
