pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT2G42320-AT3G57780,3-4,4-5,+IR,1,258,1,297,6,432,0,41,0,28,0,37,IR,AT2G42320,AT3G57780,AT2G42320-AT3G577803-4+IR,987,8,106,0,one,0.00810536980749747
AT1G10730-AT1G60780,7-8,7-8,+IR,0,19,0,28,0,36,2,456,2,342,8,683,IR,AT1G10730,AT1G60780,AT1G10730-AT1G607807-8+IR,83,0,1481,12,one,0.00810263335584065
AT1G50370-AT3G19980,3-4,3-4,+ALTD,0,356,0,288,0,559,2,199,3,190,1,353,ALTD,AT1G50370,AT3G19980,AT1G50370-AT3G199803-4+ALTD,1203,0,742,6,one,0.00808625336927224
AT3G02230-AT5G15650,2-3,2-3,+IR,0,303,0,142,0,425,9,624,4,505,5,1099,IR,AT3G02230,AT5G15650,AT3G02230-AT5G156502-3+IR,870,0,2228,18,one,0.00807899461400359
AT5G10540-AT5G65620,9-10,9-10,+IR,0,294,0,262,0,400,3,687,7,593,8,948,IR,AT5G10540,AT5G65620,AT5G10540-AT5G656209-10+IR,956,0,2228,18,one,0.00807899461400359
AT2G20580-AT4G28470,12-13,12-13,+IR,9,593,2,539,5,850,0,157,0,149,0,310,IR,AT2G20580,AT4G28470,AT2G20580-AT4G2847012-13+IR,1982,16,616,0,one,0.00807265388496468
AT4G26270-AT5G56630,10-11,8-9,+IR,0,14,0,14,0,34,2,122,1,141,1,233,IR,AT4G26270,AT5G56630,AT4G26270-AT5G5663010-11+IR,62,0,496,4,one,0.00806451612903226
AT1G53290-AT3G14960,3-4,3-4,+IR,1,99,1,108,1,165,0,84,0,99,0,124,IR,AT1G53290,AT3G14960,AT1G53290-AT3G149603-4+IR,372,3,307,0,one,0.00806451612903226
AT3G23310-AT4G14350,10-11,10-11,+ALTA,0,160,0,234,0,335,1,176,3,202,1,244,ALTA,AT3G23310,AT4G14350,AT3G23310-AT4G1435010-11+ALTA,729,0,622,5,one,0.00803858520900321
AT3G02200-AT5G15610,6-7,6-7,+IR,2,520,3,389,9,838,0,341,0,222,0,504,IR,AT3G02200,AT5G15610,AT3G02200-AT5G156106-7+IR,1747,14,1067,0,one,0.00801373783629078
