pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G34470-AT4G09640,3-4,3-4,+IR,7,125,1,88,12,168,3,91,5,74,5,153,IR,AT1G34470,AT4G09640,AT1G34470-AT4G096403-4+IR,381,20,318,13,both,0.0116129351755559
AT2G46260-AT3G61600,4-5,4-5,+IR,3,130,14,222,10,244,8,346,14,346,18,494,IR,AT2G46260,AT3G61600,AT2G46260-AT3G616004-5+IR,596,27,1186,40,both,0.0115752006066299
AT2G22190-AT4G39770,9-10,9-10,+IR,12,233,1,114,8,305,27,280,6,256,14,546,IR,AT2G22190,AT4G39770,AT2G22190-AT4G397709-10+IR,652,21,1082,47,both,0.0112294886769559
AT1G16190-AT1G79650,1-2,1-2,+IR,2,166,2,132,6,294,1,149,1,150,2,401,IR,AT1G16190,AT1G79650,AT1G16190-AT1G796501-2+IR,592,10,700,4,both,0.0111776061776062
AT1G53160-AT3G15270,1-2,1-2,+IR,10,189,18,161,31,288,4,26,3,28,3,69,IR,AT1G53160,AT3G15270,AT1G53160-AT3G152701-2+IR,638,59,123,10,both,0.0111756760200831
AT1G33990-AT4G09900,3-4,3-4,+IR,19,566,12,504,25,822,17,339,6,299,21,443,IR,AT1G33990,AT4G09900,AT1G33990-AT4G099003-4+IR,1892,56,1081,44,both,0.0111047440608786
AT2G42580-AT3G58620,6-7,6-7,+IR,12,175,14,272,3,328,1,86,13,95,4,190,IR,AT2G42580,AT3G58620,AT2G42580-AT3G586206-7+IR,775,29,371,18,both,0.0110981653769237
AT3G46440-AT5G59290,9-10,9-10,+IR,5,105,1,124,2,184,1,498,5,435,9,877,IR,AT3G46440,AT5G59290,AT3G46440-AT5G592909-10+IR,413,8,1810,15,both,0.0110831672307466
AT1G07630-AT2G28890,3-4,3-4,+IR,2,72,3,93,1,89,1,71,1,85,7,104,IR,AT1G07630,AT2G28890,AT1G07630-AT2G288903-4+IR,254,6,260,9,both,0.0109933373712901
AT1G03960-AT5G44090,9-10,9-10,+IR,1,53,1,39,6,66,15,174,3,185,7,271,IR,AT1G03960,AT5G44090,AT1G03960-AT5G440909-10+IR,158,8,630,25,both,0.0109503717098654
