pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT5G65050-AT5G65060,3-4,3-4,-ALTA,14,326,14,312,14,471,59,71,48,76,94,135,ALTA,AT5G65050,AT5G65060,AT5G65050-AT5G650603-4-ALTA,1109,42,282,201,both,0.674894000729045
AT1G53870-AT1G53890,1-2,1-2,+IR,191,613,102,560,141,723,501,584,399,538,538,685,IR,AT1G53870,AT1G53890,AT1G53870-AT1G538901-2+IR,1896,434,1807,1438,both,0.566891180337132
AT4G04750-AT4G04760,6-7,5-6,+IR,2,169,4,114,6,274,5,6,2,5,1,3,IR,AT4G04750,AT4G04760,AT4G04750-AT4G047606-7+IR,557,12,14,8,both,0.549884585791228
AT5G28020-AT5G28030,2-3,3-4,+IR,80,862,42,922,78,1575,101,144,25,86,147,218,IR,AT5G28020,AT5G28030,AT5G28020-AT5G280302-3+IR,3359,200,448,273,both,0.549833469782673
AT5G04680-AT5G04700,4-5,5-6,+IR,6,12,2,19,4,29,4,9,8,11,8,9,IR,AT5G04680,AT5G04700,AT5G04680-AT5G047004-5+IR,60,12,29,20,both,0.489655172413793
AT3G47890-AT3G47910,6-7,6-7,-ALTA,2,127,2,86,1,144,66,184,44,88,99,155,ALTA,AT3G47890,AT3G47910,AT3G47890-AT3G479106-7-ALTA,357,5,427,209,both,0.475455756072921
AT1G76520-AT1G76530,9-10,9-10,+IR,9,149,16,147,24,271,5,8,4,8,8,16,IR,AT1G76520,AT1G76530,AT1G76520-AT1G765309-10+IR,567,49,32,17,both,0.44483024691358
AT4G04810-AT4G04830,2-3,2-3,+IR,19,32,30,51,33,71,56,516,92,768,88,759,IR,AT4G04810,AT4G04830,AT4G04810-AT4G048302-3+IR,154,82,2043,236,both,0.416951135012809
AT5G28320-AT5G28400,8-9,6-7,+IR,73,81,81,76,114,106,45,79,54,76,61,110,IR,AT5G28320,AT5G28400,AT5G28320-AT5G284008-9+IR,263,268,265,160,both,0.415237821938446
AT1G03400-AT1G03410,1-2,1-2,+IR,4,283,14,306,14,377,10,26,8,37,28,45,IR,AT1G03400,AT1G03410,AT1G03400-AT1G034101-2+IR,966,32,108,46,both,0.392799631930067
AT2G29300-AT2G29320,4-5,4-5,+IR,21,143,141,375,150,205,19,351,4,279,28,542,IR,AT2G29300,AT2G29320,AT2G29300-AT2G293204-5+IR,723,312,1172,51,both,0.388019911347769
AT3G28070-AT3G28080,2-3,2-3,+IR,72,249,33,188,75,361,178,214,100,210,167,309,IR,AT3G28070,AT3G28080,AT3G28070-AT3G280802-3+IR,798,180,733,445,both,0.381530223922699
AT5G41120-AT5G41130,11-12,11-12,+IR,11,18,10,11,9,18,6,14,2,28,12,35,IR,AT5G41120,AT5G41130,AT5G41120-AT5G4113011-12+IR,47,30,77,20,both,0.378557612600166
AT2G32530-AT2G32540,7-8,7-8,+IR,30,80,10,60,33,74,2,232,2,162,3,291,IR,AT2G32530,AT2G32540,AT2G32530-AT2G325407-8+IR,214,73,685,7,both,0.330902517224913
AT2G17320-AT2G17340,1-2,1-2,+IR,88,118,52,118,106,226,78,303,61,313,125,526,IR,AT2G17320,AT2G17340,AT2G17320-AT2G173401-2+IR,462,246,1142,264,both,0.301294152432506
AT2G29300-AT2G29320,1-2,1-2,+IR,21,89,106,232,113,143,99,484,77,435,165,634,IR,AT2G29300,AT2G29320,AT2G29300-AT2G293201-2+IR,464,240,1553,341,both,0.29766636321247
AT2G32530-AT2G32540,5-6,5-6,+IR,45,82,18,70,27,120,12,232,3,155,12,250,IR,AT2G32530,AT2G32540,AT2G32530-AT2G325405-6+IR,272,90,637,27,both,0.288496167697848
AT5G18770-AT5G18780,3-4,2-3,+IR,8,41,6,32,5,53,14,36,8,22,13,25,IR,AT5G18770,AT5G18780,AT5G18770-AT5G187803-4+IR,126,19,83,35,both,0.270893096194301
AT5G18040-AT5G18065,3-4,3-4,+IR,2,89,4,73,1,123,3,0,1,10,2,11,IR,AT5G18040,AT5G18065,AT5G18040-AT5G180653-4+IR,285,7,21,6,both,0.261152882205514
AT3G26070-AT3G26080,3-4,3-4,+IR,70,1762,51,1499,70,2579,49,192,43,146,79,257,IR,AT3G26070,AT3G26080,AT3G26070-AT3G260803-4+IR,5840,191,595,171,both,0.254689478531138
AT1G02300-AT1G02305,8-9,9-10,+IR,52,230,46,237,113,354,5,680,5,890,13,1257,IR,AT1G02300,AT1G02305,AT1G02300-AT1G023058-9+IR,821,211,2827,23,both,0.248867821041833
AT3G61990-AT3G62000,3-4,3-4,+IR,3,18,6,16,8,26,8,90,2,93,5,184,IR,AT3G61990,AT3G62000,AT3G61990-AT3G620003-4+IR,60,17,367,15,both,0.242461398728429
AT2G43820-AT2G43840,1-2,1-2,+IR,12,203,28,408,36,384,3,1,1,7,3,14,IR,AT2G43820,AT2G43840,AT2G43820-AT2G438401-2+IR,995,76,22,7,both,0.241799908634079
AT4G23420-AT4G23430,8-9,6-7,+IR,3,7,2,10,1,8,1,304,1,207,7,334,IR,AT4G23420,AT4G23430,AT4G23420-AT4G234308-9+IR,25,6,845,9,both,0.229349112426036
AT1G30410-AT1G30420,21-22,19-20,+ALTA,2,146,5,82,12,169,5,16,8,14,4,32,ALTA,AT1G30410,AT1G30420,AT1G30410-AT1G3042021-22+ALTA,397,19,62,17,both,0.226334606321606
AT2G32530-AT2G32540,8-9,8-9,+IR,28,118,17,56,23,94,10,231,4,209,14,349,IR,AT2G32530,AT2G32540,AT2G32530-AT2G325408-9+IR,268,68,789,28,both,0.21824338384125
AT5G56650-AT5G56660,4-5,4-5,+IR,80,152,67,121,109,170,14,48,36,86,34,99,IR,AT5G56650,AT5G56660,AT5G56650-AT5G566604-5+IR,443,256,233,84,both,0.217363082378244
AT4G37520-AT4G37530,2-3,2-3,+IR,17,87,46,106,18,150,2,59,1,36,1,77,IR,AT4G37520,AT4G37530,AT4G37520-AT4G375302-3+IR,343,81,172,4,both,0.212895789545054
